Acompanhamento por Destinação de Recursos - Gerado em  20/10/2019 01:42:53

Código do Ativo	Data de Registro CVM	Emissor	Destinação de Recursos	Volume	Moeda	Situação	
BRAM14    	25/07/2006	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	11.050,00	R$	Reg.
BRAM15    	17/01/2008	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	8.500,00	R$	Reg.
BRLA14    	27/11/1990	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.500.000.000,00	Cr$	Exc.
BRLA15    	18/09/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	29.400.000.000,00	Cr$	Exc.
BRLA16    	31/07/1992	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	40.000.000.000,00	Cr$	Exc.
BRLA17    	30/12/1994	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	80.000.000,00	R$	Exc.
BRLA24    	17/12/1990	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.500.000.000,00	Cr$	Exc.
BRLA25    	18/09/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	8.400.000.000,00	Cr$	Exc.
BRLA26    	09/12/1992	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	90.000.000.000,00	Cr$	Exc.
BRLA27    	30/05/1995	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	120.000.000,00	R$	Exc.
BRLA34    	15/08/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.500.000.000,00	Cr$	Exc.
BRLA35    	18/09/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	4.200.000.000,00	Cr$	Exc.
BRLA36    	26/08/1993	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	120.000.000.000,00	CR$	Exc.
BRLA46    	25/10/1993	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000.000,00	CR$	Exc.
BSAM18    	31/08/1998	SANTANDER BANESPA COMPANHIA DE ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
BVAM14    	11/12/1995	BOAVISTA S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	9.000.000,00	R$	Exc.
BVLS11    	23/06/2006	BV LEASING ARRENDAMENTO MERCANTIL S.A.	Aquisição de Bens para Arrendamento	1.350,00	R$	Exc.
BVLS13    	22/12/2006	BV LEASING ARRENDAMENTO MERCANTIL S.A.	Aquisição de Bens para Arrendamento	1.999.999.522,40	R$	Exc.
BVLS15    	07/12/2011	BV LEASING ARRENDAMENTO MERCANTIL S.A.	Aquisição de Bens para Arrendamento	1.500,00	R$	Reg.
BVLS21    	23/06/2006	BV LEASING ARRENDAMENTO MERCANTIL S.A.	Aquisição de Bens para Arrendamento	2.000,00	R$	Reg.
BVSA12    	08/12/2006	BV LEASING ARRENDAMENTO MERCANTIL S.A.	Aquisição de Bens para Arrendamento	6.000,00	R$	Reg.
CCFL11    	15/12/1995	HSBC BRASIL S.A - BANCO DE INVESTIMENTO	Aquisição de Bens para Arrendamento	60.000.000,00	R$	Exc.
CIAM11    	16/12/1991	CIA. INTER-ATLANTICO DE ARRENDAMENTO MERCANTIL    	Aquisição de Bens para Arrendamento	6.300.000.000,00	Cr$	Exc.
CIAM12    	19/07/1995	CIA. INTER-ATLANTICO DE ARRENDAMENTO MERCANTIL    	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
CIAM13    	14/03/1996	CIA. INTER-ATLANTICO DE ARRENDAMENTO MERCANTIL    	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
DIBL12    	29/05/1995	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
DIBL13    	20/06/1996	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
DIBL22    	29/05/1995	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
DIBL23    	20/06/1996	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
DIBN16    	08/02/2008	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	5.000.000.000,00	R$	Exc.
DLAM11    	28/09/1993	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	6.427.500.000,00	CR$	Exc.
DLAM21    	28/09/1993	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	6.427.500.000,00	CR$	Exc.
EXCL11    	27/04/1995	MERCEDEZ BENZ LEASING DO BRASIL ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	40.000.000,00	R$	Exc.
FDLS11    	09/04/1998	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
FDLS21    	12/02/1999	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	300.000.000,00	R$	Exc.
FLAM14    	19/08/1998	FINASA LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
FLAM15    	31/03/2000	FINASA LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
FLAM16    	27/09/2001	FINASA LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
FLAM23    	23/03/1995	FINASA LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	679.162.400,00	R$	Exc.
FLAM33    	23/03/1995	FINASA LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	679.162.400,00	R$	Exc.
FLAM43    	23/03/1995	FINASA LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	679.162.400,00	R$	Exc.
IDBR11    	19/05/1997	INDUSTRIAL DO BRASIL ARREN.MERCANTIL S/A	Aquisição de Bens para Arrendamento	38.000.000,00	R$	Exc.
ILAM13    	25/07/1993	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.950.000.000,00	Cr$	Exc.
ILAM14    	26/10/1993	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	6.505,00	CR$	Reg.
ILAM15    	21/06/1995	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100,00	R$	Reg.
ILAM16    	27/12/1996	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	900,00	R$	Reg.
ILAM24    	07/12/1993	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	19.505,00	CR$	Reg.
ILAM25    	29/08/1995	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200,00	R$	Reg.
ILAMA8    	10/12/2002	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	900.000.000,00	R$	Exc.
ILAMB8    	10/12/2002	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	900.000.000,00	R$	Exc.
ILAMC8    	10/12/2002	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
INPR13    	20/12/1996	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	Aquisição de Bens para Arrendamento	20,00	R$	Reg.
INPR23    	23/12/1996	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	Aquisição de Bens para Arrendamento	5,00	R$	Reg.
ITAM11    	27/03/1992	ITAMARATI LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	10.000.000.000,00	Cr$	Exc.
ITAM12    	27/10/1993	ITAMARATI LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	13.000.000.000,00	CR$	Exc.
ITAM13    	31/10/1994	ITAMARATI LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
ITAM21    	27/03/1992	ITAMARATI LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	10.000.000.000,00	Cr$	Exc.
LBAM13    	13/03/1990	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	372,55	NCz$	Reg.
LBAM14    	09/10/1996	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200,00	R$	Reg.
